keyword,html_url,repository_full_name,repository_id,score,sha
connectionStrings,https://github.com/mrCr4b/test-repo/blob/d20e82baad47436122071b4e3eb7311d5a581983/In4_Sensitive_NET/web.config,mrCr4b/test-repo,859932391,1.0,6092c9727fc099a3c853d3c17858ced8b19e019c
connectionStrings,https://github.com/mrCr4b/test-repo/blob/d20e82baad47436122071b4e3eb7311d5a581983/In4_Sensitive_NET/appsettings.json,mrCr4b/test-repo,859932391,1.0,04ea249c36128e5cdc5f70dddcaaf8dc793a092d
smtpPassword,https://github.com/mrCr4b/test-repo/blob/d20e82baad47436122071b4e3eb7311d5a581983/In4_Sensitive_NET/test.cs,mrCr4b/test-repo,859932391,1.0,feb668a152d5d51a1f0c5b2b7f72c51967ca09e9
